Object: person, Confidence: 98.83%, Distance: 0.49m
Object: person, Confidence: 98.39%, Distance: 0.49m
Object: person, Confidence: 98.63%, Distance: 0.49m
Object: person, Confidence: 57.52%, Distance: 0.49m
Object: person, Confidence: 97.07%, Distance: 0.49m
Object: person, Confidence: 63.09%, Distance: 0.49m
Object: person, Confidence: 95.26%, Distance: 0.50m
Object: person, Confidence: 65.97%, Distance: 0.49m
Object: person, Confidence: 93.26%, Distance: 0.49m
Object: person, Confidence: 65.92%, Distance: 0.49m
Object: person, Confidence: 92.43%, Distance: 0.47m
Object: person, Confidence: 78.03%, Distance: 0.50m
Object: person, Confidence: 91.60%, Distance: 0.52m
Object: person, Confidence: 57.13%, Distance: 0.50m
Object: person, Confidence: 91.65%, Distance: 0.53m
Object: person, Confidence: 64.75%, Distance: 0.50m
Object: person, Confidence: 93.26%, Distance: 0.50m
Object: person, Confidence: 68.36%, Distance: 0.51m
Object: person, Confidence: 87.89%, Distance: 0.50m
Object: person, Confidence: 83.59%, Distance: 0.51m
Object: person, Confidence: 88.53%, Distance: 0.51m
Object: person, Confidence: 85.35%, Distance: 0.51m
Object: person, Confidence: 89.50%, Distance: 0.52m
Object: person, Confidence: 80.18%, Distance: 0.51m
Object: person, Confidence: 89.50%, Distance: 0.51m
Object: person, Confidence: 71.44%, Distance: 0.51m
Object: person, Confidence: 89.26%, Distance: 0.52m
Object: person, Confidence: 75.59%, Distance: 0.52m
Object: person, Confidence: 85.06%, Distance: 0.52m
Object: person, Confidence: 80.62%, Distance: 0.52m
Object: person, Confidence: 86.28%, Distance: 0.52m
Object: person, Confidence: 85.25%, Distance: 0.52m
Object: person, Confidence: 89.06%, Distance: 0.53m
Object: person, Confidence: 73.14%, Distance: 0.52m
Object: person, Confidence: 91.60%, Distance: 0.55m
Object: person, Confidence: 66.80%, Distance: 0.52m
Object: person, Confidence: 91.85%, Distance: 0.52m
Object: person, Confidence: 56.69%, Distance: 0.52m
Object: person, Confidence: 91.75%, Distance: 0.54m
Object: person, Confidence: 75.39%, Distance: 0.52m
Object: person, Confidence: 91.99%, Distance: 0.53m
Object: person, Confidence: 68.65%, Distance: 0.52m
Object: person, Confidence: 96.14%, Distance: 0.53m
Object: person, Confidence: 82.57%, Distance: 0.53m
Object: person, Confidence: 96.44%, Distance: 0.54m
Object: person, Confidence: 84.08%, Distance: 0.53m
Object: person, Confidence: 92.48%, Distance: 0.54m
Object: person, Confidence: 87.16%, Distance: 0.53m
Object: person, Confidence: 93.02%, Distance: 0.54m
Object: person, Confidence: 81.01%, Distance: 0.53m
Object: person, Confidence: 91.11%, Distance: 0.54m
Object: person, Confidence: 79.00%, Distance: 0.53m
